WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
train epoch=0, loader_type='Both', approx_losses.avg=0.01237447624731188, constraint_losses.avg=0.008163241700284065
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=15.726378637346082, max_test_CL_un_norm=27.536712049042723
train epoch=44, loader_type='Both', approx_losses.avg=0.0005396336440803896, constraint_losses.avg=0.00035239573938509685
------------------------- test Main, avg_test_AL=0.00011273360051948344, avg_test_CL=0.0002334226800827679, max_test_CL=0.0005477278027683496
------------------------- test un normalized Main, avg_test_AL_un_norm=8.214953486323086, avg_test_CL_un_norm=17.00962668553292, max_test_CL_un_norm=39.91319615030082
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0002400468267769611, max_test_CL=0.00040863436879590154
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=17.492331544129406, max_test_CL_un_norm=29.77738925980941
train epoch=45, loader_type='Both', approx_losses.avg=0.0005422021618901959, constraint_losses.avg=0.0003504988189328403
------------------------- test Main, avg_test_AL=7.692358176369041e-05, avg_test_CL=0.00016335807660849077, max_test_CL=0.00045751003199256957
------------------------- test un normalized Main, avg_test_AL_un_norm=5.605459620335396, avg_test_CL_un_norm=11.903984216900637, max_test_CL_un_norm=33.33898418926835
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00017919286291726165, max_test_CL=0.000309645663946867
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.057872953435432, max_test_CL_un_norm=22.564033233380094
train epoch=46, loader_type='Both', approx_losses.avg=0.0005082349415654516, constraint_losses.avg=0.0003318134651030599
------------------------- test Main, avg_test_AL=0.0001048858447805845, avg_test_CL=0.00021711233611622794, max_test_CL=0.000521756533998996
------------------------- test un normalized Main, avg_test_AL_un_norm=7.643083628060702, avg_test_CL_un_norm=15.821083822871241, max_test_CL_un_norm=38.02065592843082
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00022663255716543062, max_test_CL=0.00038202639552764595
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=16.51482705512221, max_test_CL_un_norm=27.838453221100874
train epoch=47, loader_type='Both', approx_losses.avg=0.0005367277401803423, constraint_losses.avg=0.0003489145020684523
------------------------- test Main, avg_test_AL=0.00010217705399675037, avg_test_CL=0.00021130388903245923, max_test_CL=0.0004992833128198981
------------------------- test un normalized Main, avg_test_AL_un_norm=7.445692690815331, avg_test_CL_un_norm=15.397819415543339, max_test_CL_un_norm=36.383024484752816
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00022183364340889967, max_test_CL=0.0003758906968869269
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=16.165127815104164, max_test_CL_un_norm=27.3913419923835
train epoch=48, loader_type='Both', approx_losses.avg=0.0005269029594200551, constraint_losses.avg=0.00034124839299872134
------------------------- test Main, avg_test_AL=9.869804924134095e-05, avg_test_CL=0.00020347836546004316, max_test_CL=0.00048763450467959046
------------------------- test un normalized Main, avg_test_AL_un_norm=7.192175892110985, avg_test_CL_un_norm=14.82756962256016, max_test_CL_un_norm=35.53416905368428
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0002159164991826401, max_test_CL=0.00036377061042003334
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=15.733942602246058, max_test_CL_un_norm=26.50814412324255
train epoch=49, loader_type='Both', approx_losses.avg=0.0005376233284431879, constraint_losses.avg=0.0003478573334499425
------------------------- test Main, avg_test_AL=9.838456148729557e-05, avg_test_CL=0.00020228131842488928, max_test_CL=0.0004855203442275524
------------------------- test un normalized Main, avg_test_AL_un_norm=7.169331882243732, avg_test_CL_un_norm=14.740340180641242, max_test_CL_un_norm=35.38010773919266
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00021253113989951088, max_test_CL=0.0003591380955185741
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=15.487249777289188, max_test_CL_un_norm=26.170571500076015
train epoch=50, loader_type='Both', approx_losses.avg=0.000541373179783737, constraint_losses.avg=0.0003486097013963098
------------------------- test Main, avg_test_AL=0.00011406211030010738, avg_test_CL=0.0002305089308731496, max_test_CL=0.0005458907689899206
------------------------- test un normalized Main, avg_test_AL_un_norm=8.311762652204946, avg_test_CL_un_norm=16.797300337360834, max_test_CL_un_norm=39.77933177041953
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00024074201420626196, max_test_CL=0.000394264527130872
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=17.542990204928305, max_test_CL_un_norm=28.73025157209961
train epoch=51, loader_type='Both', approx_losses.avg=0.0005200878798967183, constraint_losses.avg=0.0003342579061988675
------------------------- test Main, avg_test_AL=0.00010801164780122008, avg_test_CL=0.0002174755410147018, max_test_CL=0.0005246359505690634
------------------------- test un normalized Main, avg_test_AL_un_norm=7.870862458195529, avg_test_CL_un_norm=15.84755073236106, max_test_CL_un_norm=38.23048112405463
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00023083857552956032, max_test_CL=0.0003797278041020036
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=16.821321687790096, max_test_CL_un_norm=27.67095480074258
train epoch=52, loader_type='Both', approx_losses.avg=0.0004910586832292398, constraint_losses.avg=0.0003083096177331985
------------------------- test Main, avg_test_AL=8.953529132156168e-05, avg_test_CL=0.0001731736829724899, max_test_CL=0.00048352344310842454
------------------------- test un normalized Main, avg_test_AL_un_norm=6.524481172297549, avg_test_CL_un_norm=12.619252318061928, max_test_CL_un_norm=35.23459434892697
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0001898801320394341, max_test_CL=0.00033671065466478467
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.836659556179876, max_test_CL_un_norm=24.536272960007803
train epoch=53, loader_type='Both', approx_losses.avg=0.0004958879311117695, constraint_losses.avg=0.00031359611848269455
------------------------- test Main, avg_test_AL=9.053109900692346e-05, avg_test_CL=0.00017057966753866483, max_test_CL=0.0004927468835376203
------------------------- test un normalized Main, avg_test_AL_un_norm=6.597046156838205, avg_test_CL_un_norm=12.430225137132334, max_test_CL_un_norm=35.90670870425542
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00018572306344867684, max_test_CL=0.0003528650267980993
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.533731902867215, max_test_CL_un_norm=25.713449544436443
train epoch=54, loader_type='Both', approx_losses.avg=0.0005037355748527694, constraint_losses.avg=0.000320608539613969
------------------------- test Main, avg_test_AL=9.683314909597573e-05, avg_test_CL=0.00018297515556015088, max_test_CL=0.0005351237487047911
------------------------- test un normalized Main, avg_test_AL_un_norm=7.056279690483016, avg_test_CL_un_norm=13.333490512826508, max_test_CL_un_norm=38.994731904136444
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.000193947060723076, max_test_CL=0.00037636581691913307
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=14.133018697451096, max_test_CL_un_norm=27.425963152201117
train epoch=55, loader_type='Both', approx_losses.avg=0.0005090956943246374, constraint_losses.avg=0.0003248870519030514
------------------------- test Main, avg_test_AL=9.286158674499801e-05, avg_test_CL=0.00017437221545185233, max_test_CL=0.0005087465397082269
------------------------- test un normalized Main, avg_test_AL_un_norm=6.766869976497252, avg_test_CL_un_norm=12.706589988446131, max_test_CL_un_norm=37.07261457199856
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00018746791124431183, max_test_CL=0.0003661219379864633
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.660879852719733, max_test_CL_un_norm=26.67948689497443
train epoch=56, loader_type='Both', approx_losses.avg=0.0005100676700900611, constraint_losses.avg=0.0003261536759867643
------------------------- test Main, avg_test_AL=9.029634612022352e-05, avg_test_CL=0.00016779770429271678, max_test_CL=0.0005019505624659359
------------------------- test un normalized Main, avg_test_AL_un_norm=6.579939601965252, avg_test_CL_un_norm=12.22750207373826, max_test_CL_un_norm=36.57738776581001
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00018194534174665477, max_test_CL=0.0003635421162471175
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.25844746094249, max_test_CL_un_norm=26.491495685634224
train epoch=57, loader_type='Both', approx_losses.avg=0.0005055523456217738, constraint_losses.avg=0.00032280897304216133
------------------------- test Main, avg_test_AL=8.937748519733546e-05, avg_test_CL=0.0001670490627409813, max_test_CL=0.0005009735468775034
------------------------- test un normalized Main, avg_test_AL_un_norm=6.512981760373896, avg_test_CL_un_norm=12.17294821153869, max_test_CL_un_norm=36.50619073153366
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0001806389721210735, max_test_CL=0.0003575922455638647
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.163251677190178, max_test_CL_un_norm=26.057925687736002
train epoch=58, loader_type='Both', approx_losses.avg=0.0005138953047798066, constraint_losses.avg=0.0003286338019284553
------------------------- test Main, avg_test_AL=9.168917538951637e-05, avg_test_CL=0.0001724539321698373, max_test_CL=0.0005227699293754995
------------------------- test un normalized Main, avg_test_AL_un_norm=6.68143576876272, avg_test_CL_un_norm=12.566803725360819, max_test_CL_un_norm=38.09450574880691
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0001848341542831804, max_test_CL=0.0003655302571132779
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.468956666665497, max_test_CL_un_norm=26.636371090342603
train epoch=59, loader_type='Both', approx_losses.avg=0.0005102784688863302, constraint_losses.avg=0.00032614999322778737
------------------------- test Main, avg_test_AL=9.266803023940317e-05, avg_test_CL=0.00017466980902061557, max_test_CL=0.0005195531994104385
------------------------- test un normalized Main, avg_test_AL_un_norm=6.752765426490198, avg_test_CL_un_norm=12.728275792211441, max_test_CL_un_norm=37.86010176475162
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0001884482310886142, max_test_CL=0.0003731511242222041
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.732316246787596, max_test_CL_un_norm=27.19170879506062
train epoch=60, loader_type='Both', approx_losses.avg=0.0005027944232932073, constraint_losses.avg=0.0003208251484560721
------------------------- test Main, avg_test_AL=9.414283668196299e-05, avg_test_CL=0.0001783971758766043, max_test_CL=0.000523356138728559
------------------------- test un normalized Main, avg_test_AL_un_norm=6.860235296342085, avg_test_CL_un_norm=12.999890849714726, max_test_CL_un_norm=38.1372204416096
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0001891193475378259, max_test_CL=0.00037329047336243093
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.781220841276802, max_test_CL_un_norm=27.201861929223018
train epoch=61, loader_type='Both', approx_losses.avg=0.0005090036522764537, constraint_losses.avg=0.00032510748731401113
------------------------- test Main, avg_test_AL=8.805639067813775e-05, avg_test_CL=0.0001641402661413327, max_test_CL=0.0005000081146135926
------------------------- test un normalized Main, avg_test_AL_un_norm=6.416712945753808, avg_test_CL_un_norm=11.960982759877064, max_test_CL_un_norm=36.435840033232026
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0001790210192930317, max_test_CL=0.0003622034564614296
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.04535063469136, max_test_CL_un_norm=26.3939467212684
train epoch=62, loader_type='Both', approx_losses.avg=0.0005059074503533627, constraint_losses.avg=0.0003231366923585209
------------------------- test Main, avg_test_AL=8.634547345897259e-05, avg_test_CL=0.0001608908871459942, max_test_CL=0.00048274261644110084
------------------------- test un normalized Main, avg_test_AL_un_norm=6.292037566580261, avg_test_CL_un_norm=11.72419889967443, max_test_CL_un_norm=35.17769445891698
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0001761726103542287, max_test_CL=0.00035254264366813004
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=12.837785669922418, max_test_CL_un_norm=25.689957035602202
train epoch=63, loader_type='Both', approx_losses.avg=0.0005036853225923666, constraint_losses.avg=0.00032147857928851856
------------------------- test Main, avg_test_AL=8.981508726709952e-05, avg_test_CL=0.00016839989906469732, max_test_CL=0.000502329901792109
------------------------- test un normalized Main, avg_test_AL_un_norm=6.544870032350385, avg_test_CL_un_norm=12.27138432816123, max_test_CL_un_norm=36.60502933403567
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00018532174961296733, max_test_CL=0.0003694116312544793
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.504487982830975, max_test_CL_un_norm=26.919208836431658
train epoch=64, loader_type='Both', approx_losses.avg=0.0005017995136336789, constraint_losses.avg=0.00032046710264163153
------------------------- test Main, avg_test_AL=8.572029041078589e-05, avg_test_CL=0.00016007705873461296, max_test_CL=0.0004943491076119244
------------------------- test un normalized Main, avg_test_AL_un_norm=6.246480176409057, avg_test_CL_un_norm=11.664894810695415, max_test_CL_un_norm=36.023465388969505
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00017646949898721687, max_test_CL=0.000356715900124982
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=12.859420055800289, max_test_CL_un_norm=25.994064181828858
train epoch=65, loader_type='Both', approx_losses.avg=0.0005066416957334219, constraint_losses.avg=0.0003233635983354087
------------------------- test Main, avg_test_AL=8.80767834595213e-05, avg_test_CL=0.00016434790564659707, max_test_CL=0.000489832425955683
------------------------- test un normalized Main, avg_test_AL_un_norm=6.41819896749546, avg_test_CL_un_norm=11.976113560446871, max_test_CL_un_norm=35.694332589527676
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0001807615860847136, max_test_CL=0.0003673330065794289
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.172186588134668, max_test_CL_un_norm=26.76773772257511
train epoch=66, loader_type='Both', approx_losses.avg=0.0004941698110301837, constraint_losses.avg=0.0003148772843849165
------------------------- test Main, avg_test_AL=8.626961229778151e-05, avg_test_CL=0.00016011888716352906, max_test_CL=0.0004829521640203893
------------------------- test un normalized Main, avg_test_AL_un_norm=6.286509505994064, avg_test_CL_un_norm=11.667942870193205, max_test_CL_un_norm=35.19296508216788
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00017586258130472744, max_test_CL=0.000355424708686769
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=12.815193699897899, max_test_CL_un_norm=25.89997462618181
train epoch=67, loader_type='Both', approx_losses.avg=0.0005126677967306196, constraint_losses.avg=0.0003279085540330954
------------------------- test Main, avg_test_AL=9.20452380651291e-05, avg_test_CL=0.0001733687964747759, max_test_CL=0.0005102615104988217
------------------------- test un normalized Main, avg_test_AL_un_norm=6.707382246312228, avg_test_CL_un_norm=12.633470333340691, max_test_CL_un_norm=37.18300817669403
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00019001410618125193, max_test_CL=0.00038012515869922936
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.846422337432356, max_test_CL_un_norm=27.699908743490877
train epoch=68, loader_type='Both', approx_losses.avg=0.0004985648609717683, constraint_losses.avg=0.00031804739305793886
------------------------- test Main, avg_test_AL=8.84800895486082e-05, avg_test_CL=0.0001667868108929582, max_test_CL=0.0004973513423465192
------------------------- test un normalized Main, avg_test_AL_un_norm=6.447588092634533, avg_test_CL_un_norm=12.153837795732661, max_test_CL_un_norm=36.24224114905867
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00018213559587456984, max_test_CL=0.0003665006661321968
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.272311387325606, max_test_CL_un_norm=26.707086004012943
train epoch=69, loader_type='Both', approx_losses.avg=0.0004895867747553793, constraint_losses.avg=0.0003119627539112809
------------------------- test Main, avg_test_AL=8.647789611208001e-05, avg_test_CL=0.00016179311249180727, max_test_CL=0.00048448069719597697
------------------------- test un normalized Main, avg_test_AL_un_norm=6.301687273444793, avg_test_CL_un_norm=11.789944513104352, max_test_CL_un_norm=35.304349816832
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00017710849123807294, max_test_CL=0.00036135432310402393
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=12.905983756243106, max_test_CL_un_norm=26.332068874653153
train epoch=70, loader_type='Both', approx_losses.avg=0.0005057007919611004, constraint_losses.avg=0.00032302934210839875
------------------------- test Main, avg_test_AL=9.080133111411159e-05, avg_test_CL=0.00017166157559697705, max_test_CL=0.0005150334909558296
------------------------- test un normalized Main, avg_test_AL_un_norm=6.616738120954989, avg_test_CL_un_norm=12.509064302045939, max_test_CL_un_norm=37.530746321361235
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0001873362838457524, max_test_CL=0.0003755544894374907
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.651288102971233, max_test_CL_un_norm=27.36684242193588
train epoch=71, loader_type='Both', approx_losses.avg=0.0004952046629565764, constraint_losses.avg=0.0003161394160909815
------------------------- test Main, avg_test_AL=8.412192065213241e-05, avg_test_CL=0.00015598290383303848, max_test_CL=0.00047551991883665323
------------------------- test un normalized Main, avg_test_AL_un_norm=6.130006156877621, avg_test_CL_un_norm=11.366551711432036, max_test_CL_un_norm=34.651371776978486
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00017430710030532737, max_test_CL=0.00035816506715491414
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=12.701845013000646, max_test_CL_un_norm=26.099666742338446
train epoch=72, loader_type='Both', approx_losses.avg=0.0004964640983458912, constraint_losses.avg=0.000316861796713922
------------------------- test Main, avg_test_AL=8.501579321562324e-05, avg_test_CL=0.00015798957613792552, max_test_CL=0.00048407146823592484
------------------------- test un normalized Main, avg_test_AL_un_norm=6.1951430991686545, avg_test_CL_un_norm=11.512778919610792, max_test_CL_un_norm=35.27452808017557
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00017811124369541175, max_test_CL=0.00036546416231431067
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=12.97905482862093, max_test_CL_un_norm=26.631554919780672
train epoch=73, loader_type='Both', approx_losses.avg=0.0004927302480472939, constraint_losses.avg=0.0003144552711617305
------------------------- test Main, avg_test_AL=8.538306657899541e-05, avg_test_CL=0.00015889079597893385, max_test_CL=0.0004772215033881366
------------------------- test un normalized Main, avg_test_AL_un_norm=6.221906495265573, avg_test_CL_un_norm=11.578451257104174, max_test_CL_un_norm=34.77536899214173
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00017921480956249524, max_test_CL=0.00036457364330999553
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.059472224141695, max_test_CL_un_norm=26.566662169207532
train epoch=74, loader_type='Both', approx_losses.avg=0.0004904940575961807, constraint_losses.avg=0.0003125711550163696
------------------------- test Main, avg_test_AL=8.727749721713663e-05, avg_test_CL=0.00016360481261174442, max_test_CL=0.0004985244595445693
------------------------- test un normalized Main, avg_test_AL_un_norm=6.359954583123584, avg_test_CL_un_norm=11.921963985831399, max_test_CL_un_norm=36.32772576091351
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0001794398302801028, max_test_CL=0.00036548124626278877
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.07586961233878, max_test_CL_un_norm=26.632800439387182
train epoch=75, loader_type='Both', approx_losses.avg=0.0004992329334083248, constraint_losses.avg=0.00031884170239532576
------------------------- test Main, avg_test_AL=8.881745514125417e-05, avg_test_CL=0.00016795802902355028, max_test_CL=0.0005167880444787443
------------------------- test un normalized Main, avg_test_AL_un_norm=6.47217208433113, avg_test_CL_un_norm=12.239185019133526, max_test_CL_un_norm=37.65860316533294
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0001835875774104352, max_test_CL=0.0003703263937495649
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.378117985161792, max_test_CL_un_norm=26.985867808780185
train epoch=76, loader_type='Both', approx_losses.avg=0.0004912508112629727, constraint_losses.avg=0.00031317482078041406
------------------------- test Main, avg_test_AL=8.431721262538616e-05, avg_test_CL=0.0001580134297009721, max_test_CL=0.0004974470939487219
------------------------- test un normalized Main, avg_test_AL_un_norm=6.144237173358603, avg_test_CL_un_norm=11.51451714351893, max_test_CL_un_norm=36.249215710133036
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00017397794462590356, max_test_CL=0.00035470028524287045
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=12.677859257381906, max_test_CL_un_norm=25.847185570813156
train epoch=77, loader_type='Both', approx_losses.avg=0.0004902731665868141, constraint_losses.avg=0.000312463196361297
------------------------- test Main, avg_test_AL=8.353659988546492e-05, avg_test_CL=0.00015509611512814204, max_test_CL=0.000490949081722647
------------------------- test un normalized Main, avg_test_AL_un_norm=6.087353545006142, avg_test_CL_un_norm=11.30193098589644, max_test_CL_un_norm=35.77570426670629
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00017415467235150573, max_test_CL=0.00035926460986956954
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=12.69073750516747, max_test_CL_un_norm=26.17979124360969
train epoch=78, loader_type='Both', approx_losses.avg=0.0004899711742528736, constraint_losses.avg=0.00031236391786637434
------------------------- test Main, avg_test_AL=8.334465982931771e-05, avg_test_CL=0.00015434917341314858, max_test_CL=0.0004926330875605345
------------------------- test un normalized Main, avg_test_AL_un_norm=6.073366787011389, avg_test_CL_un_norm=11.247500967009378, max_test_CL_un_norm=35.898417508914676
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00017253533985751802, max_test_CL=0.0003584979276638478
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=12.572735951167179, max_test_CL_un_norm=26.123921465954314
train epoch=79, loader_type='Both', approx_losses.avg=0.0004971529660356787, constraint_losses.avg=0.0003174069911040114
------------------------- test Main, avg_test_AL=8.645350287305976e-05, avg_test_CL=0.00016304547086109445, max_test_CL=0.0005162407760508358
------------------------- test un normalized Main, avg_test_AL_un_norm=6.299909705704997, avg_test_CL_un_norm=11.881204484966585, max_test_CL_un_norm=37.61872323282505
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00017972001530119997, max_test_CL=0.00036559748696163297
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.096286831413483, max_test_CL_un_norm=26.641270745104027
train epoch=80, loader_type='Both', approx_losses.avg=0.00048513534098091195, constraint_losses.avg=0.00030928797014464165
------------------------- test Main, avg_test_AL=8.337703777907545e-05, avg_test_CL=0.0001559897422305223, max_test_CL=0.0005005120765417814
------------------------- test un normalized Main, avg_test_AL_un_norm=6.075726168904069, avg_test_CL_un_norm=11.36705001378326, max_test_CL_un_norm=36.47256162908623
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0001730711179895934, max_test_CL=0.00035718773142434657
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=12.61177837952102, max_test_CL_un_norm=26.028447725168807
train epoch=81, loader_type='Both', approx_losses.avg=0.0004932890036762396, constraint_losses.avg=0.0003147963557682473
------------------------- test Main, avg_test_AL=8.655310384196424e-05, avg_test_CL=0.00016310671947777068, max_test_CL=0.0005162137094885111
------------------------- test un normalized Main, avg_test_AL_un_norm=6.307167680038907, avg_test_CL_un_norm=11.88566770156964, max_test_CL_un_norm=37.616749527583124
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00018142875705393636, max_test_CL=0.00037166845868341625
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.22080368981241, max_test_CL_un_norm=27.083666179254358
train epoch=82, loader_type='Both', approx_losses.avg=0.0004850621008118319, constraint_losses.avg=0.00030912482095623597
------------------------- test Main, avg_test_AL=8.28728050774501e-05, avg_test_CL=0.00015526352830673318, max_test_CL=0.0004922468797303736
------------------------- test un normalized Main, avg_test_AL_un_norm=6.038982474922495, avg_test_CL_un_norm=11.314130459728013, max_test_CL_un_norm=35.87027315221146
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00017347158349207347, max_test_CL=0.0003561374905984849
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=12.640960487473409, max_test_CL_un_norm=25.95191588525275
train epoch=83, loader_type='Both', approx_losses.avg=0.0004953233935010512, constraint_losses.avg=0.0003158821891522079
------------------------- test Main, avg_test_AL=8.677488227069662e-05, avg_test_CL=0.00016315467378762527, max_test_CL=0.0005055679939687252
------------------------- test un normalized Main, avg_test_AL_un_norm=6.323328788537579, avg_test_CL_un_norm=11.889162152956656, max_test_CL_un_norm=36.84099016082187
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00018359777650834986, max_test_CL=0.0003758710518013686
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.37886120832113, max_test_CL_un_norm=27.38991044452484
train epoch=84, loader_type='Both', approx_losses.avg=0.0004853933792208351, constraint_losses.avg=0.00030898029629292616
------------------------- test Main, avg_test_AL=8.190680292766661e-05, avg_test_CL=0.00015088561187585368, max_test_CL=0.00047273989184759557
------------------------- test un normalized Main, avg_test_AL_un_norm=5.968589432632801, avg_test_CL_un_norm=10.995109518438802, max_test_CL_un_norm=34.44879040641274
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00017037646982885236, max_test_CL=0.0003535303985700011
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=12.415418027258843, max_test_CL_un_norm=25.761936752282022
train epoch=85, loader_type='Both', approx_losses.avg=0.0004775049487569569, constraint_losses.avg=0.00030394977091539963
------------------------- test Main, avg_test_AL=8.018634806110158e-05, avg_test_CL=0.00014903339954047112, max_test_CL=0.00048450171016156673
------------------------- test un normalized Main, avg_test_AL_un_norm=5.8432190322829385, avg_test_CL_un_norm=10.860137874372404, max_test_CL_un_norm=35.30587947632145
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00016638125744452737, max_test_CL=0.0003450078365858644
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=12.124284901310826, max_test_CL_un_norm=25.140893201330332
train epoch=86, loader_type='Both', approx_losses.avg=0.0004944722283267072, constraint_losses.avg=0.000315335784988877
------------------------- test Main, avg_test_AL=8.352997761167513e-05, avg_test_CL=0.00015528657945974844, max_test_CL=0.000502816285006702
------------------------- test un normalized Main, avg_test_AL_un_norm=6.086870974326186, avg_test_CL_un_norm=11.315810216048849, max_test_CL_un_norm=36.6404725256161
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0001773078620170736, max_test_CL=0.00036519073182716966
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=12.920512012506839, max_test_CL_un_norm=26.611630567062807
train epoch=87, loader_type='Both', approx_losses.avg=0.00048404153731872423, constraint_losses.avg=0.00030866182214831785
------------------------- test Main, avg_test_AL=8.246531004398073e-05, avg_test_CL=0.00015427149091500603, max_test_CL=0.0004975667106918991
------------------------- test un normalized Main, avg_test_AL_un_norm=6.009288118358269, avg_test_CL_un_norm=11.241840204608005, max_test_CL_un_norm=36.257934855123054
